company_id,sector,annual_revenue,revenue_growth_rate,gross_profit_margin,net_profit_margin,ebitda_margin,operating_profit_margin,total_debt,debt_to_equity_ratio,debt_to_revenue_ratio,interest_coverage_ratio,long_term_debt_ratio,operating_cash_flow,free_cash_flow,current_ratio,quick_ratio,cash_reserve_months,cash_flow_to_debt,market_share_percent,market_growth_rate,customer_retention_rate,revenue_concentration,employee_count,revenue_per_employee,asset_turnover_ratio,inventory_turnover,return_on_assets,return_on_equity,years_in_operation,credit_rating_score,bankruptcy_history,regulatory_violations,management_score,esg_score,financial_distress
COMP_00010,Finance,32166339.22,0.4532,0.2749,-0.116,0.169,0.0766,47629803.77,3.229,1.4807,6.6507,0.3104,2376070.43,2134827.47,1.1745,0.6818,12.33,0.0499,21.9629,0.2296,0.7423,0.6155,20612,1560.56,2.9717,18.737,0.0012,0.4724,55,314.24,0,0,3.78,45.85,0
COMP_00011,Real Estate,441848916.73,0.5959,0.7427,0.0405,0.1189,0.0616,76352440.6,4.0885,0.1728,2.9477,0.8154,69134178.84,73802161.4,3.9386,3.0229,18.95,0.9055,27.3154,0.2674,0.6143,0.1267,33801,13072.07,0.81,4.9804,-0.0448,0.4937,37,390.28,0,0,4.61,64.36,0
COMP_00012,Finance,224711208.63,-0.2797,0.1604,-0.1548,0.4897,0.0533,528784804.58,4.8135,2.3532,10.0349,0.5539,25002768.33,12892242.65,2.4361,2.1099,15.25,0.0473,21.4264,0.2772,0.8175,0.7226,7509,29925.58,0.4059,13.6369,0.0515,-0.2791,64,812.7,0,0,6.71,41.73,1
COMP_00013,Finance,255705812.01,-0.1984,0.4114,0.1271,0.401,0.4039,343574138.91,3.7565,1.3436,18.1927,0.6775,-22586343.99,-20117005.66,2.1918,1.9422,2.31,-0.0657,20.006,0.3672,0.8287,0.2658,49663,5148.82,0.9221,13.4044,0.0566,0.2717,20,801.65,0,0,8.42,61.14,0
COMP_00014,Telecom,313669663.04,0.2485,0.605,0.2018,0.1878,-0.1207,792871507.53,2.2014,2.5277,19.9129,0.4267,41293665.67,44820916.41,3.4771,2.8439,7.89,0.0521,26.1341,0.2076,0.7813,0.8336,12932,24255.31,1.7701,8.1232,0.2532,0.4481,34,420.89,0,0,5.8,85.26,0
COMP_00015,Manufacturing,463264920.76,0.4385,0.3528,0.3647,0.4276,0.117,1035759322.99,1.5657,2.2358,18.9129,0.8095,-3335028.64,-2170892.3,3.4742,1.8649,15.12,-0.0032,8.6019,0.1331,0.9006,0.7682,33608,13784.36,1.9728,4.0471,0.1506,0.4233,3,375.06,0,0,7.92,48.77,0
COMP_00016,Retail,10538931.12,-0.0433,0.3777,0.2436,0.1086,0.0088,24389871.34,0.7352,2.3143,19.7211,0.8342,385626.05,441610.5,1.1181,0.7343,21.74,0.0158,25.6345,0.1513,0.8347,0.7151,37052,284.44,1.2603,14.0371,0.1338,-0.2802,74,582.26,0,2,8.61,72.74,0
COMP_00017,Telecom,238944890.69,-0.0847,0.7404,0.1247,0.3715,0.3863,668050540.41,3.1757,2.7958,0.7973,0.4494,5945402.23,5376944.1,1.1075,1.0359,22.43,0.0089,14.4516,0.0608,0.59,0.6574,46827,5102.72,1.415,10.1993,-0.0322,0.3458,56,673.17,1,0,9.25,23.23,0
COMP_00018,Telecom,344173299.17,0.4083,0.3477,0.3596,0.0342,-0.0924,772991707.57,2.5984,2.2459,14.7242,0.2926,83773613.09,72188435.0,3.2834,1.9265,20.21,0.1084,23.6243,-0.0714,0.5376,0.4761,49894,6898.09,1.7342,5.4424,0.0035,0.0671,34,446.04,0,2,6.04,86.77,0
COMP_00019,Finance,361630771.89,-0.2493,0.4729,0.0871,0.3634,0.0969,551005292.6,3.4207,1.5237,5.8225,0.6181,-29281530.35,-34393003.96,3.2497,2.2887,6.48,-0.0531,9.6876,0.2587,0.8589,0.7383,7799,46368.86,0.6355,3.0305,0.2426,0.3801,23,422.23,0,1,4.28,62.55,1
COMP_00020,Energy,346573683.34,0.0324,0.0882,0.1367,0.1739,0.0941,494128714.77,1.262,1.4258,17.3796,0.8637,13585238.12,8025563.66,1.2882,0.8378,11.62,0.0275,4.8975,-0.0901,0.8552,0.7554,49120,7055.65,2.8933,19.0289,0.1047,0.2725,76,844.49,1,2,7.34,65.99,0
COMP_00021,Manufacturing,68083129.57,0.1552,0.6395,0.1577,-0.0355,0.383,34489494.79,1.6859,0.5066,16.3678,0.598,3943819.77,4015198.24,3.4453,2.0413,10.68,0.1143,1.1176,-0.0679,0.9082,0.1788,23994,2837.51,2.0849,9.3585,-0.0689,0.0521,43,567.97,0,1,9.21,88.3,0
COMP_00022,Healthcare,150398398.6,0.2043,0.5037,0.046,0.064,-0.0207,413611779.72,1.5313,2.7501,8.7617,0.8634,22188833.03,23808615.7,2.1802,1.4075,10.81,0.0536,28.1412,0.0671,0.5971,0.3648,34642,4341.5,1.6594,15.4771,0.1769,-0.0637,32,787.01,0,2,3.1,41.06,0
COMP_00023,Telecom,179999047.18,0.3558,0.3328,0.3031,0.1414,0.2369,483795805.4,4.0085,2.6878,9.7286,0.375,38805263.68,32673626.97,2.145,1.2554,1.67,0.0802,6.9742,0.3655,0.6071,0.3533,34072,5282.9,2.2497,4.4577,-0.1211,-0.2993,66,509.52,0,0,6.27,43.74,0
COMP_00024,Retail,402414166.63,0.0194,0.0613,-0.0889,0.3496,-0.0694,377228853.92,0.939,0.9374,5.6693,0.8321,76887687.32,38792373.55,3.9499,3.5343,4.58,0.2038,12.7849,0.1416,0.7768,0.1997,28042,14350.41,0.4772,13.2354,0.2521,0.1322,58,333.8,1,1,3.82,55.38,0
COMP_00025,Energy,140101176.33,0.2514,0.4642,0.1329,-0.0562,0.4224,424943470.26,3.0815,3.0331,6.1317,0.1901,28167179.17,24421945.8,2.3173,1.3405,4.1,0.0663,26.933,0.0076,0.5747,0.8806,35374,3960.57,2.4025,2.4506,0.0958,0.0193,62,450.37,0,0,6.61,39.98,0
COMP_00026,Energy,106141776.97,0.2268,0.0589,0.2333,0.2957,0.2058,223174875.93,0.3516,2.1026,19.6329,0.3871,-2446057.79,-1485878.23,0.9797,0.7647,15.01,-0.011,15.8113,0.3485,0.6422,0.5669,23408,4534.42,0.7397,9.6024,0.2912,-0.0286,39,657.55,1,0,6.89,15.56,0
COMP_00027,Healthcare,478766561.5,0.1929,0.0508,0.3424,0.3296,0.2258,827086118.28,2.7927,1.7275,17.8326,0.4956,126727071.67,113268576.21,1.4805,1.3681,10.18,0.1532,7.6925,0.1858,0.89,0.5718,40862,11716.67,0.4242,6.4186,-0.0256,0.0746,57,599.32,0,2,9.28,52.25,0
COMP_00028,Telecom,5422779.27,0.2764,0.4813,0.3304,0.2924,0.1103,864865.11,0.4132,0.1595,4.2414,0.6225,356056.82,362121.55,1.6679,1.549,8.12,0.4117,6.8972,0.0849,0.6604,0.406,31532,171.98,2.677,8.0369,-0.1003,0.081,17,497.09,0,2,5.17,14.15,0
COMP_00029,Retail,498912606.99,-0.0665,0.1823,0.1052,0.3564,0.0554,699136230.36,0.9618,1.4013,5.8727,0.3353,-47674286.46,-41560059.26,3.8546,2.9688,10.93,-0.0682,14.3369,0.2579,0.5054,0.7149,6587,75742.01,2.1671,13.235,0.0705,0.1611,35,583.02,1,2,5.12,49.72,0
COMP_00030,Manufacturing,338733828.13,-0.2238,0.1843,0.1859,0.0069,-0.0224,771730713.26,0.6538,2.2783,2.6186,0.8394,56649328.11,53338821.1,1.4241,0.8857,8.12,0.0734,19.8247,0.1206,0.8124,0.4805,12971,26114.7,0.3073,8.3869,0.0964,0.2268,2,848.37,0,0,9.81,16.66,0
COMP_00031,Technology,414406180.43,-0.1927,0.5073,0.0365,0.2523,0.2124,167893617.34,1.799,0.4051,19.783,0.8228,58680379.12,33609884.16,2.0064,1.227,18.3,0.3495,13.7931,0.265,0.5867,0.6938,29426,14082.99,2.8084,6.4497,0.1889,-0.1691,18,683.1,1,0,7.78,74.75,0
COMP_00032,Retail,148015078.78,-0.0979,0.0876,0.0809,0.4647,0.4227,246079338.73,1.7843,1.6625,18.1906,0.7395,-7344056.17,-4170924.57,3.1237,2.6126,4.43,-0.0298,31.6695,0.0092,0.594,0.8024,4820,30708.52,2.9945,14.8638,0.1204,-0.1224,71,660.25,1,0,3.79,31.87,0
COMP_00033,Healthcare,8143323.56,0.1502,0.2694,0.3438,0.2665,0.0659,28319891.66,4.1495,3.4777,11.2659,0.1915,2312272.64,2533461.24,1.4593,1.3737,1.82,0.0816,0.2338,-0.0249,0.5079,0.6255,25273,322.21,1.9319,11.7557,0.031,0.0654,28,605.44,0,2,5.73,63.8,0
COMP_00034,Energy,369196889.76,0.4564,0.1546,0.3584,0.2668,0.3799,936368732.23,1.2059,2.5362,14.0114,0.1626,46011447.53,24594540.57,2.9557,1.5811,15.79,0.0491,14.1302,0.1305,0.7775,0.5985,3703,99702.1,0.61,13.2914,-0.0662,-0.0873,46,401.02,0,0,3.87,62.11,0
COMP_00035,Manufacturing,417238153.9,0.3312,0.4561,0.3372,0.3419,-0.0607,817520173.77,0.5233,1.9594,15.085,0.4985,36594120.35,25579655.14,1.2263,1.0488,5.92,0.0448,26.0249,0.0598,0.7697,0.7295,35405,11784.72,1.6453,8.883,0.2496,0.3358,5,639.88,0,0,6.18,35.29,0
COMP_00036,Retail,370497589.84,0.4101,0.5132,-0.117,0.0999,0.4117,708506916.19,3.0572,1.9123,4.4743,0.7123,21951570.51,25384524.05,1.3488,0.7491,15.62,0.031,31.1921,0.2026,0.5463,0.5024,12115,30581.72,2.0968,6.6003,-0.0093,0.085,19,618.09,0,0,8.06,49.32,0
COMP_00037,Technology,72282293.36,0.0159,0.5548,0.3101,0.3203,0.0603,17983927.09,3.4685,0.2488,18.726,0.1986,-1160813.78,-953268.38,3.9522,2.5064,1.88,-0.0645,12.6082,0.2944,0.5242,0.7493,18681,3869.29,0.7183,6.4938,-0.054,0.1283,28,732.87,0,1,3.05,78.76,0
COMP_00038,Technology,376960533.21,0.0642,0.2287,0.369,0.4497,0.0778,1264653239.94,1.5446,3.3549,10.7715,0.6131,105973076.52,103024588.25,1.7913,1.3524,6.31,0.0838,23.6083,0.3508,0.7356,0.174,659,572019.02,1.2845,19.8612,-0.0311,0.1486,34,479.9,0,0,3.5,81.13,0
COMP_00039,Finance,384692468.27,0.0543,0.1125,0.0167,-0.0935,0.1277,1252483294.27,3.0538,3.2558,2.3028,0.5223,69576809.17,45585560.5,3.0539,1.9354,4.12,0.0556,20.3542,0.2803,0.875,0.2935,13736,28006.15,0.5049,13.988,0.0958,0.2809,5,520.5,1,1,2.93,29.5,0
COMP_00040,Finance,329611717.32,-0.1273,0.1051,0.1112,0.4221,0.2809,797718372.95,3.9027,2.4202,8.2431,0.6808,41874366.84,28866472.33,3.4402,2.7268,7.33,0.0525,7.1335,0.0709,0.9578,0.8397,43643,7552.45,1.8259,3.7991,-0.1438,0.265,30,845.74,1,1,2.34,51.26,0
COMP_00041,Real Estate,383291850.46,-0.2449,0.3483,0.2675,0.0312,0.2818,167360403.69,1.803,0.4366,12.2321,0.4483,58444372.3,50045938.4,1.714,1.1788,8.23,0.3492,23.865,0.2637,0.5361,0.237,48007,7984.08,1.1617,13.5789,0.199,0.2499,24,490.81,0,1,2.24,56.55,0
COMP_00042,Healthcare,423114798.4,0.2318,0.7121,0.1372,0.1736,0.1378,341299310.74,2.6742,0.8066,7.3801,0.6546,99926253.3,94597189.59,1.7501,1.0476,12.14,0.2928,8.8098,0.1649,0.8399,0.4625,27002,15669.76,1.1876,3.8584,0.2065,-0.2348,19,602.66,0,0,6.34,79.02,0
COMP_00043,Telecom,307188453.0,0.5903,0.2024,0.3961,0.4114,0.1639,222801457.08,0.8185,0.7253,14.1345,0.2277,47395526.56,55562855.69,3.2058,2.3688,12.72,0.2127,27.4584,0.353,0.5919,0.4846,38676,7942.61,1.4878,7.3925,0.2441,0.3013,20,475.92,0,0,1.86,19.2,0
COMP_00044,Retail,45213752.27,-0.1499,0.2297,0.0734,0.3943,-0.132,84394491.12,0.2159,1.8666,17.7,0.2717,-2448944.49,-2209178.08,2.6245,1.3406,15.31,-0.029,30.32,0.2534,0.5163,0.434,31456,1437.36,0.9082,17.2191,0.2177,0.3327,51,655.83,0,0,6.59,27.94,0
COMP_00045,Retail,244326277.02,-0.258,0.1206,0.2284,0.4352,0.0326,197057247.53,4.9087,0.8065,15.5519,0.8227,43714384.35,24793853.2,1.7661,1.472,8.29,0.2218,16.7969,-0.0249,0.6607,0.7935,11378,21473.57,1.9272,18.4584,-0.1103,0.2138,32,724.88,0,0,7.56,25.92,1
COMP_00046,Telecom,39747018.0,0.4016,0.4739,0.2756,0.4643,0.0576,98005093.11,1.5687,2.4657,13.0318,0.3635,5006047.5,3788794.64,3.1235,2.2959,13.0,0.0511,1.9889,-0.061,0.7755,0.6998,10708,3711.9,2.0806,17.4803,0.0884,0.3818,13,676.97,1,0,6.08,67.14,0
COMP_00047,Real Estate,204363972.49,-0.0727,0.5259,0.0965,0.1683,0.1852,399282571.66,1.4666,1.9538,10.4871,0.8884,58557971.0,39287556.44,3.523,3.2623,23.77,0.1467,25.8336,0.1719,0.7886,0.7482,21646,9441.19,0.903,11.9787,-0.0744,-0.0557,61,608.4,0,2,2.33,21.59,0
COMP_00048,Energy,204146138.07,0.4467,0.5001,0.3142,0.2938,0.185,32671099.21,4.8689,0.16,5.462,0.137,39499763.83,26784033.61,1.3226,0.7225,5.45,1.209,16.4058,0.0825,0.5236,0.893,12208,16722.32,2.3574,10.156,-0.1031,-0.2373,40,471.4,0,0,7.39,44.33,0
COMP_00049,Energy,33938912.23,0.3335,0.6528,0.1277,0.1343,0.2759,89252368.3,3.6683,2.6298,9.3715,0.4967,1276142.69,1089533.89,0.5852,0.4855,4.09,0.0143,3.3987,-0.016,0.9453,0.8799,12692,2674.04,0.3501,6.4226,-0.1483,-0.0556,64,621.38,1,0,9.7,84.11,0
COMP_00050,Real Estate,175061446.45,0.5511,0.3905,0.047,0.1104,0.2802,129898692.66,2.968,0.742,6.2126,0.36,-8024967.16,-5791349.93,1.4595,0.9274,20.3,-0.0618,11.6567,0.2988,0.5262,0.8137,24259,7216.35,2.137,16.3664,-0.1362,0.2762,63,725.33,0,0,6.6,88.82,0
COMP_00051,Energy,56388051.3,0.068,0.1441,-0.1353,0.159,-0.0089,163785264.23,3.5267,2.9046,18.7135,0.8968,5239139.99,3680580.81,2.8607,1.9107,10.14,0.032,10.2434,0.0877,0.6043,0.5525,33849,1665.87,1.4173,13.2104,0.0085,0.3185,19,385.21,1,0,5.08,52.76,0
COMP_00052,Finance,404309369.79,0.2958,0.2526,0.036,0.3458,0.3121,528494806.55,3.5786,1.3072,18.1926,0.892,69436783.48,81769677.83,3.7034,2.4325,20.4,0.1314,25.4499,-0.057,0.7076,0.341,3025,133655.99,1.9409,11.5311,-0.1418,0.1952,17,543.61,0,0,3.55,88.95,0
COMP_00053,Retail,473896324.96,0.1184,0.5137,0.2404,0.2009,-0.1382,592989746.96,3.8403,1.2513,3.5386,0.2882,-13785545.92,-12527904.88,3.5207,2.3276,10.48,-0.0232,14.8999,0.0311,0.9539,0.679,20226,23430.06,1.3144,6.6618,0.0428,-0.1649,17,781.46,0,0,7.15,25.79,0
COMP_00054,Real Estate,37085921.15,0.2675,0.4792,0.3528,0.3884,0.2797,5198665.18,0.4292,0.1402,16.5411,0.3138,5925503.54,4048571.74,1.2776,0.8865,1.01,1.1398,20.588,0.2384,0.9758,0.8594,46910,790.58,1.2577,7.5854,-0.0903,0.2874,3,575.82,0,0,7.55,39.77,0
COMP_00055,Retail,477602488.44,0.1046,0.4217,-0.049,0.3471,-0.0888,1651682437.34,2.1229,3.4583,14.2068,0.6997,109965443.2,76217994.16,3.5835,1.8256,9.31,0.0666,17.5883,0.224,0.5002,0.8922,2370,201520.04,0.6024,6.4134,0.2209,-0.2911,18,794.71,0,0,6.03,71.19,0
COMP_00056,Telecom,261765723.07,-0.1302,0.5281,0.0131,-0.0877,0.2878,570862550.75,1.5461,2.1808,19.5166,0.8117,-9732430.91,-10391508.01,3.3376,2.9405,14.84,-0.017,25.3766,0.0312,0.6078,0.5906,3505,74683.52,2.1959,13.481,0.0219,-0.2534,14,345.93,0,0,3.42,54.49,0
COMP_00057,Technology,150483273.3,0.1571,0.4962,-0.1076,0.2781,0.1663,231335312.37,0.4458,1.5373,9.5345,0.631,27435249.84,30742104.94,3.0704,2.7536,11.02,0.1186,25.16,0.0706,0.7406,0.6606,39659,3794.43,1.0403,13.0061,0.1378,-0.2254,63,447.87,1,0,9.7,45.74,0
COMP_00058,Finance,39354175.56,0.1757,0.6669,0.2144,0.1619,0.1124,16863766.98,2.1217,0.4285,14.5824,0.7918,-2860928.4,-2790325.96,2.9088,1.5062,11.29,-0.1696,15.7628,-0.0751,0.8333,0.323,2309,17043.82,1.4049,5.0847,0.0627,-0.1021,3,577.86,0,0,2.42,86.65,0
COMP_00059,Manufacturing,250811509.77,0.4295,0.4602,0.3761,0.174,0.2644,621286048.15,3.1193,2.4771,10.5987,0.1506,-24283562.06,-19475727.05,3.3248,2.8234,23.96,-0.0391,4.8127,0.3766,0.8152,0.2613,47418,5289.37,2.323,7.975,0.0559,0.0559,25,404.97,1,2,9.66,33.13,0
COMP_00060,Finance,397463256.7,0.362,0.595,0.1846,0.391,-0.1282,421821235.13,0.9746,1.0613,1.8533,0.6124,-34557890.19,-35774390.38,3.5161,1.8724,13.29,-0.0819,14.3349,0.0636,0.6207,0.6111,10301,38584.92,0.8439,2.3063,0.0632,0.1324,7,616.04,1,0,1.36,73.73,0
COMP_00061,Real Estate,353836152.16,0.2974,0.2241,0.1702,0.2286,-0.0159,1224327854.1,1.5946,3.4602,1.4119,0.6601,53996044.71,62428462.52,3.3669,2.9074,16.88,0.0441,5.6887,0.3647,0.5948,0.2801,36517,9689.63,1.4621,5.1989,-0.0243,0.1116,25,564.49,0,2,3.17,19.86,0
COMP_00062,Manufacturing,26062779.72,-0.198,0.5247,0.1321,0.4314,0.2199,86837559.85,3.2319,3.3319,2.8812,0.2523,7541130.33,4647903.27,0.9265,0.7188,17.44,0.0868,33.5746,0.3069,0.5069,0.4163,32715,796.66,1.0937,11.5153,-0.0943,0.2816,17,814.71,0,0,6.56,79.6,0
COMP_00063,Technology,37378015.85,0.3486,0.6815,-0.1469,0.3277,0.3583,97183166.69,2.9387,2.6,6.2757,0.7224,7795144.12,8599555.86,3.0275,1.9311,0.5,0.0802,33.26,0.0676,0.9046,0.4941,45308,824.98,2.2027,8.7954,0.2479,-0.1963,76,660.95,0,0,6.18,31.23,0
COMP_00064,Real Estate,202033768.03,0.1503,0.32,0.2377,0.2317,0.0787,687247068.57,4.357,3.4016,5.5527,0.8554,356327.77,389885.23,3.4446,2.6738,13.48,0.0005,16.0383,0.2471,0.6818,0.8462,30720,6576.62,2.8952,12.5704,0.1894,0.1826,71,307.67,0,0,6.59,33.21,0
COMP_00065,Healthcare,148349956.53,0.5047,0.5954,0.1612,0.3527,0.0053,68115643.92,3.977,0.4592,14.7024,0.8184,-10580990.24,-8005062.7,1.15,0.8372,23.13,-0.1553,1.0642,0.1368,0.9149,0.882,24398,6080.41,2.8615,9.5812,-0.0372,0.0777,34,763.79,0,0,7.48,49.29,0
COMP_00066,Retail,116959777.2,0.5279,0.5574,0.1969,-0.077,0.1612,123008027.62,4.8315,1.0517,14.4605,0.296,17153514.1,12080367.05,1.2483,0.9813,18.14,0.1395,13.1751,0.3883,0.6554,0.2977,27666,4227.56,1.5917,3.685,-0.1425,0.2426,49,656.29,0,1,1.69,14.92,0
COMP_00067,Technology,141221244.96,-0.2504,0.0917,0.3393,-0.0837,0.2234,135717455.06,3.0262,0.961,19.4422,0.3592,-13939729.62,-12486054.22,3.2509,2.3209,8.5,-0.1027,31.3388,0.2192,0.8629,0.2056,21826,6470.32,0.6732,13.9988,0.0879,0.4799,27,411.6,1,0,6.85,15.0,0
COMP_00068,Retail,401937888.91,0.4386,0.4571,0.2704,-0.05,0.1021,138605483.0,3.5225,0.3448,6.5526,0.4997,87234288.15,60244491.85,1.7038,1.4444,9.07,0.6294,10.1519,0.1595,0.5334,0.2799,32813,12249.35,2.9051,19.0066,-0.1097,-0.0029,60,435.87,0,1,7.55,81.31,0
COMP_00069,Energy,464684798.76,-0.2661,0.1411,0.2685,0.1625,0.376,1582516811.38,4.3165,3.4056,18.7998,0.2267,-1278714.84,-769484.7,1.899,0.9882,7.64,-0.0008,21.8071,0.219,0.8895,0.5151,15751,29501.92,2.6952,6.9217,0.17,-0.1029,35,678.05,0,0,8.41,45.56,0
COMP_00070,Healthcare,203146244.57,0.0305,0.7271,0.3563,0.0413,0.1641,61738560.07,4.216,0.3039,12.4506,0.8632,3999305.66,4667810.53,1.8201,1.192,15.31,0.0648,6.5194,0.0101,0.9277,0.7263,7676,26465.12,0.6438,5.7366,-0.0122,0.3866,61,617.36,0,0,7.08,10.23,0
COMP_00071,Healthcare,453149390.06,0.1881,0.618,0.394,0.4906,-0.1285,1365222323.69,3.6217,3.0127,10.1585,0.2293,17034608.27,14376460.76,1.2449,0.9358,2.79,0.0125,28.8982,0.0532,0.6271,0.5176,90,5034993.22,0.9653,17.0851,0.1145,-0.0666,69,541.53,0,0,4.33,54.09,0
COMP_00072,Technology,161426354.92,-0.1667,0.1268,0.1488,0.2254,-0.0162,437747731.28,2.5513,2.7117,13.5229,0.7091,33160391.78,27542333.62,3.7858,2.895,7.32,0.0758,31.2272,0.2563,0.5681,0.8465,49491,3261.73,0.5108,6.8779,0.0478,0.3888,8,473.7,0,0,7.79,54.54,0
COMP_00073,Healthcare,238742056.19,0.3717,0.1352,-0.1347,0.2974,0.1204,328974162.09,1.4387,1.3779,14.2037,0.3731,1503298.71,884348.84,3.3205,1.9136,12.21,0.0046,21.5677,-0.0581,0.5941,0.6099,22697,10518.66,2.8769,8.8025,-0.1098,-0.2546,14,754.4,0,0,3.04,67.62,0
COMP_00074,Manufacturing,113788469.91,-0.2925,0.4661,0.0755,0.0673,0.2686,18655054.45,4.3984,0.1639,3.8526,0.559,1568956.11,1338173.66,1.3769,0.7346,13.08,0.0841,21.8693,0.0513,0.9165,0.4869,19873,5725.78,0.3982,5.9994,0.2902,-0.2496,35,736.52,0,1,2.06,82.75,1
COMP_00075,Healthcare,320597545.05,-0.1483,0.2914,0.2726,0.0931,-0.0181,38704483.89,3.9056,0.1207,15.1585,0.1377,37316520.4,38062220.56,0.8713,0.4439,14.77,0.9641,13.3117,0.2098,0.6374,0.7162,49968,6416.06,1.3039,13.3151,-0.1494,0.2015,64,775.64,0,1,5.37,73.85,0
COMP_00076,Retail,489511576.47,0.2227,0.0744,-0.1834,0.1013,0.4358,388466135.91,4.2057,0.7936,14.6409,0.264,41706489.82,28094843.35,1.8041,1.2374,19.23,0.1074,24.7775,0.3978,0.6111,0.863,48733,10044.77,2.5463,10.1012,0.2698,-0.0734,76,742.65,0,0,4.87,70.95,0
COMP_00077,Retail,302143054.93,0.3429,0.4291,-0.1659,0.3192,0.0411,537566992.89,0.7899,1.7792,19.9519,0.4555,85273192.5,64656015.68,1.9536,1.2672,4.34,0.1586,16.7983,0.3628,0.9699,0.3665,48171,6272.3,1.7206,8.6582,0.1642,0.0136,68,818.83,0,0,6.79,29.34,0
COMP_00078,Real Estate,179549227.97,0.525,0.3215,-0.1597,0.1842,0.1695,297494025.22,1.6426,1.6569,18.283,0.6418,962138.39,601568.08,0.5248,0.3965,5.79,0.0032,26.1175,0.3161,0.8216,0.32,19720,9104.93,1.6459,6.6935,0.0967,-0.2856,12,360.99,0,0,6.52,36.92,0
